municipio;cd_mun;pop_estimada;n_caso_antes_eleicao;n_caso_depois_eleicao;incidencia;tot_casos
ARUJA;3503901;91157;627;2;2.194016916;629
BARUERI;3505708;276982;2252;39;14.08033735;2291
BIRITIBA MIRIM;3506607;32936;0;0;0;0
CAIEIRAS;3509007;102775;262;1;0.97299927;263
CAJAMAR;3509205;77934;374;5;6.415685067;379
CARAPICUIBA;3510609;403183;788;17;4.216447618;805
COTIA;3513009;253608;1631;23;9.069114539;1654
DIADEMA;3513801;426757;2389;83;19.44900728;2472
EMBU DAS ARTES;3515004;276535;187;2;0.723235757;189
EMBU-GUACU;3515103;69901;263;11;15.73654168;274
FERRAZ DE VASCONCELOS;3515707;196500;974;0;0;974
FRANCISCO MORATO;3516309;177633;513;12;6.755501512;525
FRANCO DA ROCHA;3516408;156492;841;13;8.307133911;854
GUARAREMA;3518305;30136;206;1;3.318290417;207
GUARULHOS;3518800;1392121;10251;272;19.53853149;10523
ITAPECERICA DA SERRA;3522208;177662;1595;48;27.01759521;1643
ITAPEVI;3522505;240961;1421;4;1.660019671;1425
ITAQUAQUECETUBA;3523107;375011;1451;33;8.799741874;1484
JANDIRA;3525003;126356;128;7;5.539903131;135
JUQUITIBA;3526209;31646;0;0;0;0
MAIRIPORA;3528502;101937;318;29;28.44894396;347
MAUA;3529401;477552;1833;2;0.41880256;1835
MOGI DAS CRUZES;3530607;450785;3635;120;26.62022916;3755
OSASCO;3534401;699944;4586;59;8.429245768;4645
PIRAPORA DO BOM JESUS;3539103;19178;23;0;0;23
POA;3539806;118349;286;4;3.379834219;290
RIBEIRAO PIRES;3543303;124159;644;3;2.416256574;647
RIO GRANDE DA SERRA;3544103;51436;62;5;9.720818104;67
SALESOPOLIS;3545001;17252;13;2;11.5928588;15
SANTA ISABEL;3546801;57966;320;5;8.625746127;325
SANTANA DE PARNAIBA;3547304;142301;866;16;11.243772;882
SANTO ANDRE;3547809;721368;3025;28;3.881514012;3053
SAO BERNARDO DO CAMPO;3548708;844483;9050;62;7.341770053;9112
SAO CAETANO DO SUL;3548807;161957;2176;25;15.43619603;2201
SAO LOURENCO DA SERRA;3549953;15978;0;0;0;0
SAO PAULO;3550308;12325232;121017;2754;22.34440699;123771
SUZANO;3552502;300559;513;6;1.996280264;519
TABOAO DA SERRA;3552809;293652;1438;52;17.70803536;1490
VARGEM GRANDE PAULISTA;3556453;53468;0;0;0;0
